name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kyiv,2023-12-09,-2.1,-5.1,-3.3,-2.1,-7.6,-3.6,-4.6,90.7,0,0,0,,0,10.4,18.4,7.2,56.5,1023,98.3,10.3,,,,,2023-12-09T07:45:56,2023-12-09T15:54:07,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"remote,33345099999"
Kyiv,2023-12-10,-1.3,-4.8,-3.3,-1.3,-7.3,-4.5,-4.3,93.1,0.5,100,4.17,snow,0,10.4,17.3,7.2,123.4,1019.9,99.9,2.9,,,,,2023-12-10T07:47:00,2023-12-10T15:53:58,0.92,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"remote,33345099999"
Kyiv,2023-12-11,-0.3,-1.8,-1.1,-0.8,-5.5,-3.6,-2,93.8,1,100,4.17,"rain,snow",0.4,10.9,25.6,10.8,176.7,1015.7,99.9,1.8,,,,,2023-12-11T07:48:02,2023-12-11T15:53:52,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-12,-0.5,-2.9,-1.5,-1.3,-7,-4.1,-2.2,95.1,0.3,100,8.33,"rain,snow",0.5,10.7,23.4,10.8,175.7,1011.8,99,2.3,,,,,2023-12-12T07:49:01,2023-12-12T15:53:49,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-13,1.4,-0.6,0.4,1.1,-4,-1.2,0,97,0.4,100,4.17,"rain,snow",0.3,10.2,28.4,11.5,151.1,1012.5,98.5,1.1,,,,,2023-12-13T07:49:58,2023-12-13T15:53:49,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-14,0.8,-3.1,-0.3,0.6,-8.2,-3.8,-1,95.4,23,100,8.33,"rain,snow",7.5,15.5,40,16.2,103.5,1006.6,99.8,2.5,,,,,2023-12-14T07:50:52,2023-12-14T15:53:53,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-15,1,-4.2,-2,-2.2,-9,-5.6,-4.2,84.9,0.4,100,4.17,snow,0,13.8,37.1,14,306.9,1021,88.5,15.5,,,,,2023-12-15T07:51:43,2023-12-15T15:54:00,0.09,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"remote,33345099999"
Kyiv,2023-12-16,1.6,-3.6,-0.4,-0.7,-7.2,-3.5,-1.9,89.9,2,100,4.17,"rain,snow",0,11.7,29.9,12.6,267.2,1030.3,83.9,12.9,,,,,2023-12-16T07:52:32,2023-12-16T15:54:10,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"remote,33345099999"
Kyiv,2023-12-17,3.9,1.5,2.6,1.1,-2.3,-0.9,1.6,93,2,100,4.17,rain,0,9,38.5,18,263.3,1025.7,98.7,6.6,,,,,2023-12-17T07:53:18,2023-12-17T15:54:24,0.16,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"remote,33345099999"
Kyiv,2023-12-18,4.7,3.6,4,4.7,0.3,1.4,3.2,94.2,1,100,4.17,rain,0,4.8,33.8,13,271.1,1021.4,99.4,2.5,,,,,2023-12-18T07:54:01,2023-12-18T15:54:41,0.19,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"remote,33345099999"
Kyiv,2023-12-19,6.4,3.7,4.7,4.9,1.1,2.4,2.9,88.3,0.6,100,4.17,rain,0,2.2,33.1,13.3,243.9,1018,89.5,10.6,,,,,2023-12-19T07:54:41,2023-12-19T15:55:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,33345099999"
Kyiv,2023-12-20,10.6,5,6.3,10.6,2.4,4.4,0.3,65.7,0,0,0,,0,0.7,29.5,14.4,233.1,1007.8,86.2,20,,,,,2023-12-20T07:55:18,2023-12-20T15:55:24,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-12-21,4.7,0.9,2.7,3.7,-2.6,0.3,-0.3,80.9,0,0,0,,0,0,30.6,11.9,233.5,1002,58.8,20,,,,,2023-12-21T07:55:52,2023-12-21T15:55:50,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-12-22,2.2,0.7,1.4,1.4,-3,-1.8,-0.5,87.5,2.4,100,8.33,"rain,snow",0,0,33.1,14.4,200.9,987.4,96.5,13.1,,,,,2023-12-22T07:56:23,2023-12-22T15:56:20,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"remote,33345099999"
